                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3608,                 2.4783,                 1.4085,                0.01773,                0.63587,                0.16926,                0.05743,                 2.0844,                 2.8845,                 1.9112,                0.00028,                0.00028,                0.00028
                      2,                 1.3656,                 1.8832,                 1.4537,                0.64819,                0.14021,                0.24539,                0.12196,                 1.5155,                 2.6234,                 1.3858,             0.00057713,             0.00057713,             0.00057713
                      3,                 1.1928,                 1.5849,                 1.3676,                0.40364,                0.14348,                0.21625,                0.11379,                 1.6037,                 2.5349,                 1.4983,             0.00087129,             0.00087129,             0.00087129
                      4,                 1.3104,                 1.4515,                 1.3623,                0.26742,                0.30435,                0.22582,                0.09953,                 1.6237,                 2.3925,                 1.5648,              0.0011625,              0.0011625,              0.0011625
                      5,                  1.287,                 1.3028,                 1.3053,                0.31717,                0.38587,                0.23615,                  0.101,                 1.9182,                 2.2385,                  1.754,              0.0014507,              0.0014507,              0.0014507
                      6,                  1.296,                 1.6265,                  1.372,                0.42631,                0.46196,                0.31049,                0.14248,                 1.7196,                 2.0734,                 1.6993,              0.0017359,              0.0017359,              0.0017359
                      7,                 1.2567,                   1.27,                 1.3037,                0.50741,                 0.6087,                0.56789,                0.26004,                 1.7092,                  1.702,                 1.8049,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.2452,                  1.316,                 1.3308,                0.46109,                0.51149,                0.44216,                0.19489,                 1.8263,                 1.9727,                 1.7143,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.2519,                 1.2897,                 1.3321,                0.56463,                0.45109,                 0.4629,                0.21398,                 1.8726,                 1.9164,                 1.6696,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.2149,                 1.1754,                 1.2988,                0.66794,                 0.5163,                0.54543,                0.26369,                 1.6862,                 1.6926,                 1.5996,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.2256,                 1.1672,                 1.2741,                 0.7678,                0.50543,                0.58717,                0.31075,                 1.6372,                 1.6236,                 1.5411,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.2017,                 1.1019,                 1.2508,                0.61346,                0.58152,                0.54043,                0.28271,                 1.6687,                  1.738,                   1.51,               0.001901,               0.001901,               0.001901
                     13,                 1.1698,                 1.1504,                 1.2546,                 0.4588,                0.55749,                0.54567,                 0.2895,                 1.5565,                 2.0915,                 1.4665,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.0689,                 1.0952,                 1.2228,                0.67489,                0.59239,                0.59417,                0.30642,                 1.5991,                 1.5673,                 1.4988,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.1911,                 1.1199,                 1.3348,                0.69874,                0.54204,                0.59044,                0.31271,                 1.6509,                 1.5798,                 1.6298,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.1178,                 1.0998,                 1.2986,                0.77962,                0.47826,                0.57759,                0.29017,                 1.6158,                 1.7189,                 1.4853,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.0841,                 1.0209,                 1.2307,                0.75012,                0.60326,                0.68322,                0.36693,                  1.586,                 1.3001,                 1.4489,              0.0018515,              0.0018515,              0.0018515
