                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3608,                 2.4783,                 1.4085,                0.01788,                 0.6413,                0.16956,                0.05755,                 2.0848,                 2.8854,                 1.9127,                0.00028,                0.00028,                0.00028
                      2,                 1.3707,                 1.7623,                 1.4739,                0.62401,                 0.1413,                0.24506,                0.12273,                 1.5113,                 2.6214,                 1.3836,             0.00057426,             0.00057426,             0.00057426
                      3,                 1.1969,                 1.6099,                 1.3678,                0.33021,                0.13043,                0.19952,                0.10349,                 1.6134,                 2.5669,                 1.5205,             0.00086258,             0.00086258,             0.00086258
                      4,                 1.3348,                 1.4678,                 1.3783,                0.40657,                0.36413,                0.33236,                0.14971,                 1.6217,                 2.2505,                 1.5202,               0.001145,               0.001145,               0.001145
                      5,                 1.2671,                 1.2968,                 1.2924,                0.31701,                0.45109,                0.23442,                0.10185,                  1.726,                 2.2969,                 1.5699,              0.0014214,              0.0014214,              0.0014214
                      6,                 1.2395,                 1.5602,                 1.3616,                 0.1462,                0.32065,                0.12065,                0.05263,                 1.8514,                 2.6078,                 1.6406,              0.0016919,              0.0016919,              0.0016919
                      7,                 1.3064,                 1.3185,                 1.3352,                0.46593,                0.45109,                0.39118,                0.18393,                 1.7453,                  2.073,                 1.6998,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2586,                  1.347,                 1.3341,                0.34408,                0.38043,                0.28463,                0.12698,                 1.8249,                 2.2347,                 1.7464,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2602,                 1.2211,                 1.3519,                0.55508,                0.55435,                0.51218,                0.24221,                  1.719,                 1.7526,                 1.5824,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.167,                 1.1612,                 1.2769,                 0.6287,                 0.5163,                0.56198,                0.28076,                 1.7229,                 1.6065,                 1.5498,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2034,                 1.1555,                 1.2552,                0.72254,                    0.5,                0.57975,                 0.3084,                 1.6579,                 1.7267,                 1.5686,               0.001802,               0.001802,               0.001802
